model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,val_acc,nodes,mean
ccp,kr-vs-kp,1024,1024,8,0.03125,1.0633041530091911,0.0,0.9140625,1042,0.9018002385029352
ccp,breastcancer,1024,1024,4,0.125,1.0557095987381235,0.0,0.5789473684210527,1028,0.6395604395604396
ccp,breastcancer,1024,1024,8,0.5,1.307341365769712,0.0,0.5789473684210527,1024,0.6395604395604396
ccp,breastcancer,1024,1024,8,0.125,1.0557095987381235,0.0,0.5789473684210527,1028,0.6395604395604396
ccp,breastcancer,1024,1024,8,0.03125,0.5696686518274253,0.0,0.8771929824561403,1044,0.9164835164835166
ccp,breastcancer,1024,1024,8,0.0078125,0.3346612326938334,0.0,0.912280701754386,1078,0.9362637362637362
ccp,kr-vs-kp,2,2,4,0.25,1.3847633119176872,0.0,0.5328125,2,0.519554947407045
cegb,breastcancer,4,4,8,0.25,0.9230769230769232,0.0,0.8771929824561403,12,0.9076923076923076
cegb,breastcancer,64,7,4,0.25,0.9428571428571428,0.0,0.8947368421052632,21,0.9208791208791208
cegb,breastcancer,1,1,8,0.015625,0.6395604395604395,0.0,0.5789473684210527,7,0.6395604395604396
cegb,breastcancer,1,1,2,0.25,0.6395604395604395,0.0,0.5789473684210527,3,0.6395604395604396
cegb,kr-vs-kp,8,8,2,0.015625,0.9017996870109546,0.0,0.9140625,48,0.9018002385029352
cegb,breastcancer,64,20,8,0.0625,0.9604395604395604,0.0,0.9035087719298246,92,0.945054945054945
cegb,breastcancer,2,2,8,0.0625,0.6395604395604395,0.0,0.5789473684210527,16,0.6395604395604396
cegb,breastcancer,8,8,8,0.0,0.9604395604395604,0.0,0.912280701754386,234,0.923076923076923
cegb,kr-vs-kp,4,4,4,0.0,0.9420970266040688,0.0,0.9359375,74,0.9420965325342466
cegb,breastcancer,2,2,2,0.0,0.6395604395604395,0.0,0.5789473684210527,14,0.6395604395604396
lgbm_base,kr-vs-kp,32,32,1,0.0,0.9017996870109546,0.0,0.9140625,96,0.9018002385029352
lgbm_quant,kr-vs-kp,32,32,1,0.0,0.9017996870109546,0.0,0.9140625,96,0.9018002385029352
cegb,kr-vs-kp,2,2,2,0.0,0.9017996870109546,0.0,0.9140625,14,0.9018002385029352
cegb,kr-vs-kp,64,8,8,0.0625,0.9420970266040688,0.0,0.9359375,100,0.9460104268590998
cegb,kr-vs-kp,2,1,4,0.25,0.5195618153364632,0.0,0.5328125,1,0.519554947407045
cegb,kr-vs-kp,1,1,8,0.015625,0.9608763693270737,0.0,0.9453125,45,0.9514784124266144
cegb,breastcancer,32,32,1,0.0,0.9626373626373628,0.0,0.912280701754386,96,0.9406593406593406
cegb,breastcancer,2,2,4,0.25,0.6395604395604395,0.0,0.5789473684210527,6,0.6395604395604396
cegb,kr-vs-kp,256,33,2,0.015625,0.9420970266040688,0.0,0.9359375,205,0.9420965325342466
cegb,breastcancer,32,7,2,0.25,0.9428571428571428,0.0,0.8947368421052632,21,0.9208791208791208
cegb,kr-vs-kp,16,10,2,0.0625,0.9017996870109546,0.0,0.9140625,60,0.9018002385029352
ccp,kr-vs-kp,32,32,1,0.0,0.8435333245763454,0.0,0.9140625,96,0.9198041523972602
cegb,breastcancer,32,30,8,0.015625,0.9956043956043956,0.0,0.9385964912280702,274,0.956043956043956
ccp,kr-vs-kp,2,2,8,0.0625,1.3847633119176872,0.0,0.5328125,2,0.519554947407045
cegb,breastcancer,4,4,4,0.0,0.934065934065934,0.0,0.8771929824561403,62,0.912087912087912
cegb,kr-vs-kp,32,1,2,0.25,0.5195618153364632,0.0,0.5328125,1,0.519554947407045
cegb,breastcancer,16,16,2,0.0625,0.9648351648351648,0.0,0.9035087719298246,72,0.9362637362637362
ccp,kr-vs-kp,16,16,1,0.25,1.3847633119176872,0.0,0.5328125,16,0.519554947407045
ccp,kr-vs-kp,16,16,2,0.0625,1.3847633119176872,0.0,0.5328125,16,0.519554947407045
cegb,breastcancer,8,8,2,0.015625,0.9604395604395604,0.0,0.912280701754386,56,0.923076923076923
cegb,kr-vs-kp,4,1,8,0.25,0.5195618153364632,0.0,0.5328125,1,0.519554947407045
cegb,breastcancer,16,16,4,0.015625,0.978021978021978,0.0,0.9385964912280702,130,0.9384615384615383
lgbm_base,kr-vs-kp,1,1,1,0.0,0.5195618153364632,0.0,0.5328125,3,0.519554947407045
lgbm_quant,kr-vs-kp,1,1,1,0.0,0.5195618153364632,0.0,0.5328125,3,0.519554947407045
cegb,kr-vs-kp,1,1,2,0.25,0.5195618153364632,0.0,0.5328125,1,0.519554947407045
cegb,breastcancer,32,20,4,0.0625,0.9604395604395604,0.0,0.9035087719298246,92,0.945054945054945
cegb,breastcancer,1024,1024,1,0.0,1.0,0.0,0.9385964912280702,3072,0.9670329670329668
cegb,breastcancer,16,7,1,0.25,0.9428571428571428,0.0,0.8947368421052632,21,0.9208791208791208
cegb,kr-vs-kp,512,1,1,0.25,0.5195618153364632,0.0,0.5328125,1,0.519554947407045
cegb,kr-vs-kp,4,4,1,0.015625,0.7515649452269171,0.0,0.7671875,12,0.814129005626223
cegb,kr-vs-kp,1,1,4,0.0625,0.9420970266040688,0.0,0.9359375,13,0.9420965325342466
cegb,kr-vs-kp,128,128,4,0.0,0.9859154929577464,0.0,0.98125,2950,0.9784804611056752
cegb,breastcancer,4,4,1,0.015625,0.9230769230769232,0.0,0.8771929824561403,12,0.9076923076923076
ccp,kr-vs-kp,8,8,2,0.015625,0.9198627695641916,0.0,0.9140625,44,0.9018002385029352
lgbm_base,kr-vs-kp,4,4,4,0.0,0.9420970266040688,0.0,0.9359375,78,0.9420965325342466
ccp,kr-vs-kp,4,4,4,0.0,0.9177047976110688,0.0,0.9359375,74,0.9420965325342466
cegb,kr-vs-kp,8,8,1,0.0625,0.9017996870109546,0.0,0.9140625,24,0.9018002385029352
lgbm_quant,kr-vs-kp,4,4,4,0.0,0.9420970266040688,0.0,0.9359375,78,0.9420965325342466
ccp,kr-vs-kp,4,4,1,0.015625,1.2588516631127264,0.0,0.9140625,12,0.8434832130626223
ccp,kr-vs-kp,1,1,4,0.0625,1.3847633119176872,0.0,0.5328125,1,0.519554947407045
cegb,kr-vs-kp,128,90,1,0.015625,0.939358372456964,0.0,0.934375,270,0.9393575709393346
cegb,kr-vs-kp,32,19,8,0.015625,0.9683098591549296,0.0,0.965625,535,0.961653008806262
cegb,kr-vs-kp,512,19,4,0.015625,0.9420970266040688,0.0,0.9359375,219,0.9420965325342466
cegb,kr-vs-kp,16,16,4,0.015625,0.9420970266040688,0.0,0.9359375,186,0.9420965325342466
ccp,kr-vs-kp,2,2,2,0.0,1.229726062910828,0.0,0.9140625,12,0.9018002385029352
cegb,breastcancer,8,8,1,0.0625,0.9362637362637364,0.0,0.8771929824561403,24,0.9230769230769232
cegb,breastcancer,512,30,4,0.015625,0.9956043956043956,0.0,0.9385964912280702,274,0.9538461538461538
cegb,kr-vs-kp,256,22,1,0.0625,0.9017996870109546,0.0,0.9140625,66,0.9018002385029352
cegb,breastcancer,512,20,2,0.0625,0.9626373626373628,0.0,0.9035087719298246,84,0.9384615384615383
ccp,kr-vs-kp,8,8,8,0.0,0.5552594318707635,0.0,0.975,624,0.9730010090508806
lgbm_base,breastcancer,1024,1024,1,0.0,1.0,0.0,0.9736842105263158,3072,0.9743589743589742
lgbm_quant,breastcancer,1024,1024,1,0.0,1.0,0.0,0.9736842105263158,3072,0.9743589743589742
cegb,kr-vs-kp,512,10,2,0.0625,0.9017996870109546,0.0,0.9140625,60,0.9018002385029352
lgbm_base,kr-vs-kp,64,64,2,0.0,0.9420970266040688,0.0,0.9359375,446,0.942487921966732
lgbm_quant,kr-vs-kp,64,64,2,0.0,0.9420970266040688,0.0,0.9359375,446,0.942487921966732
cegb,breastcancer,128,128,4,0.0,1.0,0.0,0.9473684210526316,2522,0.9736263736263736
lgbm_base,kr-vs-kp,2,2,2,0.0,0.9017996870109546,0.0,0.9140625,14,0.903500591161122
lgbm_quant,kr-vs-kp,2,2,2,0.0,0.9017996870109546,0.0,0.9140625,14,0.903500591161122
cegb,kr-vs-kp,16,1,1,0.25,0.5195618153364632,0.0,0.5328125,1,0.519554947407045
cegb,kr-vs-kp,512,8,8,0.0625,0.9420970266040688,0.0,0.9359375,100,0.9460104268590998
cegb,kr-vs-kp,8,8,8,0.0,0.9671361502347418,0.0,0.965625,458,0.9596960616438356
cegb,kr-vs-kp,64,1,4,0.25,0.5195618153364632,0.0,0.5328125,1,0.519554947407045
ccp,kr-vs-kp,128,128,1,0.015625,0.9906761257869894,0.0,0.9140625,164,0.9018002385029352
cegb,breastcancer,1024,7,8,0.25,0.9428571428571428,0.0,0.8947368421052632,21,0.9208791208791208
cegb,kr-vs-kp,1,1,1,0.0,0.5195618153364632,0.0,0.5328125,3,0.519554947407045
lgbm_base,kr-vs-kp,8,8,8,0.0,0.9671361502347418,0.0,0.965625,456,0.9589140472113502
lgbm_quant,kr-vs-kp,8,8,8,0.0,0.9671361502347418,0.0,0.965625,456,0.9589140472113502
cegb,breastcancer,256,32,2,0.015625,0.989010989010989,0.0,0.9385964912280702,204,0.9582417582417582
cegb,breastcancer,1,1,4,0.0625,0.6395604395604395,0.0,0.5789473684210527,7,0.6395604395604396
cegb,kr-vs-kp,128,1,8,0.25,0.5195618153364632,0.0,0.5328125,1,0.519554947407045
ccp,kr-vs-kp,128,128,4,0.0,0.0875183706713678,0.0,0.9828125,3386,0.9780883072407044
cegb,breastcancer,1024,30,8,0.015625,0.9956043956043956,0.0,0.9385964912280702,274,0.956043956043956
cegb,breastcancer,512,7,1,0.25,0.9428571428571428,0.0,0.8947368421052632,21,0.9208791208791208
cegb,kr-vs-kp,32,8,4,0.0625,0.9420970266040688,0.0,0.9359375,80,0.9420965325342466
cegb,breastcancer,512,20,8,0.0625,0.9604395604395604,0.0,0.9035087719298246,92,0.945054945054945
ccp,kr-vs-kp,1,1,2,0.25,1.3847633119176872,0.0,0.5328125,1,0.519554947407045
cegb,breastcancer,1024,7,2,0.25,0.9428571428571428,0.0,0.8947368421052632,21,0.9208791208791208
cegb,kr-vs-kp,1024,1,2,0.25,0.5195618153364632,0.0,0.5328125,1,0.519554947407045
cegb,kr-vs-kp,2,2,8,0.0625,0.9420970266040688,0.0,0.9359375,22,0.9420965325342466
cegb,kr-vs-kp,32,32,1,0.0,0.9017996870109546,0.0,0.9140625,96,0.9018002385029352
cegb,kr-vs-kp,1024,1024,1,0.0,0.9597026604068858,0.0,0.9484375,3072,0.9557928693737768
ccp,kr-vs-kp,8,8,1,0.0625,1.3847633119176872,0.0,0.5328125,8,0.519554947407045
ccp,kr-vs-kp,32,32,4,0.0625,1.3847633119176872,0.0,0.5328125,32,0.519554947407045
cegb,kr-vs-kp,64,64,2,0.0,0.9420970266040688,0.0,0.9359375,446,0.9420965325342466
cegb,breastcancer,64,64,2,0.0,0.9978021978021978,0.0,0.9385964912280702,448,0.9692307692307692
cegb,kr-vs-kp,1024,19,8,0.015625,0.9683098591549296,0.0,0.965625,535,0.961653008806262
ccp,kr-vs-kp,1,1,8,0.015625,1.2344162124811997,0.0,0.9359375,9,0.9420965325342466
ccp,kr-vs-kp,32,32,8,0.015625,0.7754998676033703,0.0,0.9359375,80,0.9420965325342466
cegb,breastcancer,128,7,8,0.25,0.9428571428571428,0.0,0.8947368421052632,21,0.9208791208791208
cegb,breastcancer,128,48,1,0.015625,0.9736263736263736,0.0,0.9298245614035088,144,0.9626373626373624
ccp,kr-vs-kp,4,4,8,0.25,1.3847633119176872,0.0,0.5328125,4,0.519554947407045
cegb,breastcancer,256,21,1,0.0625,0.9494505494505494,0.0,0.8947368421052632,63,0.9318681318681318
cegb,breastcancer,1024,20,8,0.0625,0.9604395604395604,0.0,0.9035087719298246,92,0.945054945054945
cegb,breastcancer,1024,20,4,0.0625,0.9604395604395604,0.0,0.9035087719298246,92,0.945054945054945
ccp,kr-vs-kp,16,16,4,0.015625,0.7754998759228089,0.0,0.9359375,64,0.9420965325342466
cegb,kr-vs-kp,1024,8,4,0.0625,0.9420970266040688,0.0,0.9359375,80,0.9420965325342466
ccp,kr-vs-kp,256,256,1,0.0625,1.3847633119176872,0.0,0.5328125,256,0.519554947407045
ccp,kr-vs-kp,64,64,2,0.0,0.3460179914193422,0.0,0.9421875,446,0.9475721624266144
cegb,kr-vs-kp,1024,8,8,0.0625,0.9420970266040688,0.0,0.9359375,100,0.9460104268590998
